type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information,source_file
Reactive blue,Polyporus rubidus,100 mg/l,1 g (wet weight),shake flasks (150 rpm),28±2°C,5 days,not specified,90% decolorization achieved after 5 days,mycelium,High efficiency of enzyme in the bioreactor.,Decolorization+of+synthetic+textile+dyes+by+Phlebia+tremellosa_.txt
Reactive orange,Polyporus rubidus,1000 mg/l,1 g (wet weight),shake flasks (150 rpm),28±2°C,5 days,not specified,40% color remaining after 5 days,mycelium,92% decolorization for 100 mg/l concentration after 5 days.,Decolorization+of+synthetic+textile+dyes+by+Phlebia+tremellosa_.txt
Ramazol black,Polyporus rubidus,1000 mg/l,1 g (wet weight),shake flasks (150 rpm),28±2°C,5 days,not specified,26% color remaining after 5 days,mycelium,Complete decolorization observed for 100 mg/l within 3 days.,Decolorization+of+synthetic+textile+dyes+by+Phlebia+tremellosa_.txt
Congo red,Polyporus rubidus,1000 mg/l,1 g (wet weight),shake flasks (150 rpm),28±2°C,5 days,not specified,Observed color removal after 5 days,mycelium,Complete decolorization observed for 100 mg/l within 3 days.,Decolorization+of+synthetic+textile+dyes+by+Phlebia+tremellosa_.txt
Textile effluent,Polyporus rubidus,varied,1 g (wet weight),not specified,28±2°C,8 days,4-7,"100% decolorisation for samples 1 and 3 in 4 days, 25% color remained with mycelia.",mycelium,Immobilized enzyme in bioreactor was more efficient than mycelia.,Decolorization+of+synthetic+textile+dyes+by+Phlebia+tremellosa_.txt
Poly R-478,Phlebia sp. MG-60,0.02%,Not specified,stationary,30°C,2 weeks,4.5,inhibited at high sea salt concentrations,mycelium,Decolorization increased to comparable degree at 2 weeks after inoculation.,Effects+of+Mn2%2B+and+NH4%2B+concentrations+on+laccase+and+manganese+peroxidase+production+and+amaranth+decoloration+by+Trametes+versicolor_.txt
Poly R-478,Phlebia sp. MG-60,0.02%,Not specified,stationary,30°C,not specified,4.5,not adsorbed by mycelium,mycelium,Control medium without fungus showed no decolorization.,Effects+of+Mn2%2B+and+NH4%2B+concentrations+on+laccase+and+manganese+peroxidase+production+and+amaranth+decoloration+by+Trametes+versicolor_.txt
Poly R-478,Phlebia sp. MG-60,0.02%,Not specified,stationary,30°C,not specified,4.5,inhibited by high concentrations of NH4,mycelium,Decolorization was least inhibited at 5% sea salt concentration.,Effects+of+Mn2%2B+and+NH4%2B+concentrations+on+laccase+and+manganese+peroxidase+production+and+amaranth+decoloration+by+Trametes+versicolor_.txt
Poly R-478,Phlebia sp. MG-60,0.02%,Not specified,stationary,30°C,not specified,4.5,inhibited by Mn2 at higher concentrations,mycelium,Decolorization improved under 5% sea salt condition.,Effects+of+Mn2%2B+and+NH4%2B+concentrations+on+laccase+and+manganese+peroxidase+production+and+amaranth+decoloration+by+Trametes+versicolor_.txt
Poly R-478,Phlebia sp. MG-60,0.02%,Not specified,stationary,30°C,not specified,4.5,enhanced by sea salt concentrations,mycelium,"At 3% and 5% sea salts, MnP production enhanced during decolorization.",Effects+of+Mn2%2B+and+NH4%2B+concentrations+on+laccase+and+manganese+peroxidase+production+and+amaranth+decoloration+by+Trametes+versicolor_.txt
Malachite Green,Aspergillus flavus,10 µM,,static,37.5°C,6 days,7.3 ± 0.2,> 96%,whole fungi,Both species decolorized at varying concentrations,mp-2.txt
Malachite Green,Aspergillus flavus,20 µM,,static,37.5°C,6 days,7.3 ± 0.2,> 96%,whole fungi,Both species decolorized at varying concentrations,mp-2.txt
Malachite Green,Aspergillus flavus,30 µM,,static,37.5°C,6 days,7.3 ± 0.2,99.78%,whole fungi,Used dye as sole source of C,mp-2.txt
Malachite Green,Aspergillus flavus,40 µM,,static,37.5°C,6 days,7.3 ± 0.2,> 96%,whole fungi,Both species decolorized at varying concentrations,mp-2.txt
Malachite Green,Aspergillus flavus,50 µM,,static,37.5°C,6 days,7.3 ± 0.2,97.43%,whole fungi,Both species decolorized at varying concentrations,mp-2.txt
Malachite Green,Alternaria solani,10 µM,,static,37.5°C,6 days,7.3 ± 0.2,> 96%,whole fungi,Both species decolorized at varying concentrations,mp-2.txt
Malachite Green,Alternaria solani,20 µM,,static,37.5°C,6 days,7.3 ± 0.2,> 96%,whole fungi,Both species decolorized at varying concentrations,mp-2.txt
Malachite Green,Alternaria solani,30 µM,,static,37.5°C,6 days,7.3 ± 0.2,91.72%,whole fungi,Used dye as sole source of C,mp-2.txt
Malachite Green,Alternaria solani,40 µM,,static,37.5°C,6 days,7.3 ± 0.2,> 96%,whole fungi,Both species decolorized at varying concentrations,mp-2.txt
Malachite Green,Alternaria solani,50 µM,,static,37.5°C,6 days,7.3 ± 0.2,96.91%,whole fungi,Both species decolorized at varying concentrations,mp-2.txt
Acid Blue 62,Pleurotus ostreatus,0.10 g/L,,shaking,25°C,1 day,5,40%,whole fungi,,Bio-remediation+of+colored+industrial+wastewaters+by+the+white-rot+fungi+Phanerochaete+chrysosporium+and+Pleurotus+ostreatus+and+their+enzymes_.txt
Acid Blue 62,Pleurotus ostreatus,0.10 g/L,,shaking,25°C,7 days,5,60%,whole fungi,,Bio-remediation+of+colored+industrial+wastewaters+by+the+white-rot+fungi+Phanerochaete+chrysosporium+and+Pleurotus+ostreatus+and+their+enzymes_.txt
Reactive Blue 222,Mucorales Fungi,1.25 g/L,,shaking,30°C,2 hours,10,59.30%,inactivated biomass,,Bio-remediation+of+colored+industrial+wastewaters+by+the+white-rot+fungi+Phanerochaete+chrysosporium+and+Pleurotus+ostreatus+and+their+enzymes_.txt
Reactive Blue 222,Mucorales Fungi,1.25 g/L,,shaking,30°C,24 hours,10,67.10%,inactivated biomass,,Bio-remediation+of+colored+industrial+wastewaters+by+the+white-rot+fungi+Phanerochaete+chrysosporium+and+Pleurotus+ostreatus+and+their+enzymes_.txt
Remazol Brilliant Blue R,P. ostreatus,5 mM,50 U/ml,agitated,room temperature,24 hours,4.5,up to 35%,whole fungi,performed enzyme assays after immobilization,Bio-remediation+of+colored+industrial+wastewaters+by+the+white-rot+fungi+Phanerochaete+chrysosporium+and+Pleurotus+ostreatus+and+their+enzymes_.txt
RBBR,P. ostreatus,0.1 g/L,,continuous stirring,room temperature,15 cycles over 1 month,4,up to 80%,whole fungi,immobilized in Cu-alginate beads,Bio-remediation+of+colored+industrial+wastewaters+by+the+white-rot+fungi+Phanerochaete+chrysosporium+and+Pleurotus+ostreatus+and+their+enzymes_.txt
Direct Blue 71,Phanerochaete chrysosporium,1 g/L,,shaking,28°C,1 day,9,46%,whole fungi,effective results in nutrient-supplemented conditions,Bio-remediation+of+colored+industrial+wastewaters+by+the+white-rot+fungi+Phanerochaete+chrysosporium+and+Pleurotus+ostreatus+and+their+enzymes_.txt
Direct Red 80,Phanerochaete chrysosporium,1 g/L,,shaking,28°C,1 day,9,90%,whole fungi,effective results in nutrient-supplemented conditions,Bio-remediation+of+colored+industrial+wastewaters+by+the+white-rot+fungi+Phanerochaete+chrysosporium+and+Pleurotus+ostreatus+and+their+enzymes_.txt
Amaranth,Trametes versicolor,50 ppm,N-limited,shaking,30°C,48 hours,5,complete,mycelium,Lag period of 24 hours before initial decoloration.,Decolorization+of+textile+dyes+by+white+rot+fungi_.txt
Remazol Black B,Trametes versicolor,60 ppm,N-limited,shaking,30°C,48 hours,5,complete,mycelium,Lag period of 24 hours before initial decoloration.,Decolorization+of+textile+dyes+by+white+rot+fungi_.txt
Tropaeolin O,Trametes versicolor,20 ppm,N-limited,shaking,30°C,complete,5,incomplete,mycelium,Not decolorized under certain conditions.,Decolorization+of+textile+dyes+by+white+rot+fungi_.txt
Reactive Blue,Trametes versicolor,20 ppm,N-limited,shaking,30°C,complete,5,complete,mycelium,,Decolorization+of+textile+dyes+by+white+rot+fungi_.txt
R. Black + R. Orange + R. Blue,Trametes versicolor,30+30+20 ppm,N-limited,shaking,30°C,within 24 hours,5,complete,mycelium,Mixture decolorized during a fed-batch experiment.,Decolorization+of+textile+dyes+by+white+rot+fungi_.txt
Amaranth,Trametes versicolor,50 ppm,N-limited,shaking,30°C,8 days,5,8 successive additions achieved.,mycelium,Glucose replenished during culture to maintain high rates.,Decolorization+of+textile+dyes+by+white+rot+fungi_.txt
Amaranth,Bjerkandera sp. BOS55,50 ppm,N-limited,shaking,30°C,48 hours,5,incomplete,mycelium,Lag period observed before first decoloration.,Decolorization+of+textile+dyes+by+white+rot+fungi_.txt
Amaranth,Phanerochaete chrysosporium,50 ppm,N-limited,shaking,37°C,48 hours,5,complete,mycelium,Shows similar decolorization ability.,Decolorization+of+textile+dyes+by+white+rot+fungi_.txt
Disperse Blue 64,Aspergillus flavus,50 mg/L,,static,30°C,48 h,7,>99%,whole fungi,,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.txt
Disperse Blue 64,Aspergillus flavus,100 mg/L,,static,30°C,48 h,7,>99%,whole fungi,,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.txt
Disperse Blue 64,Aspergillus flavus,300 mg/L,,static,30°C,48 h,7,55.20%,whole fungi,,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.txt
Acid Yellow 17,Aspergillus flavus,50 mg/L,,static,30°C,48 h,7,>99%,whole fungi,,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.txt
Acid Yellow 17,Aspergillus flavus,100 mg/L,,static,30°C,48 h,7,>99%,whole fungi,,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.txt
Acid Yellow 17,Aspergillus flavus,300 mg/L,,static,30°C,48 h,7,57.60%,whole fungi,,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.txt
Reactive yellow (4GL),Aspergillus niger D2-1,100 ppm,3 discs (0.7 mm diameter),shaking,Room Temperature,7 days,9,98.62%,whole fungi,Decolorization was confirmed by UV-Vis spectrum showing complete disappearance of peaks at ~425 nm.,Decolorization+of+different+textile+dyes+by+isolated+Aspergillus+niger_.txt
Reactive red (4BL),Aspergillus niger D2-1,100 ppm,3 discs (0.7 mm diameter),shaking,Room Temperature,7 days,9,92.42%,whole fungi,Decolorization was confirmed by UV-Vis spectrum showing complete disappearance of peaks at ~520 nm.,Decolorization+of+different+textile+dyes+by+isolated+Aspergillus+niger_.txt
Reactive yellow (4GL),Aspergillus niger D2-1,50 ppm,3 discs (0.7 mm diameter),shaking,Room Temperature,6 days,9,67.68%,whole fungi,,Decolorization+of+different+textile+dyes+by+isolated+Aspergillus+niger_.txt
Reactive yellow (4GL),Aspergillus niger D2-1,200 ppm,3 discs (0.7 mm diameter),shaking,Room Temperature,6 days,9,4.08%,whole fungi,,Decolorization+of+different+textile+dyes+by+isolated+Aspergillus+niger_.txt
Reactive red (4BL),Aspergillus niger D2-1,50 ppm,3 discs (0.7 mm diameter),shaking,Room Temperature,6 days,9,54.84%,whole fungi,,Decolorization+of+different+textile+dyes+by+isolated+Aspergillus+niger_.txt
Reactive red (4BL),Aspergillus niger D2-1,200 ppm,3 discs (0.7 mm diameter),shaking,Room Temperature,6 days,9,4.95%,whole fungi,,Decolorization+of+different+textile+dyes+by+isolated+Aspergillus+niger_.txt
Reactive yellow (4GL),Aspergillus niger D2-1,100 ppm,3 discs (0.7 mm diameter),shaking,Room Temperature,6 days,6,22.03%,whole fungi,,Decolorization+of+different+textile+dyes+by+isolated+Aspergillus+niger_.txt
Reactive red (4BL),Aspergillus niger D2-1,100 ppm,3 discs (0.7 mm diameter),shaking,Room Temperature,6 days,11,30.10%,whole fungi,,Decolorization+of+different+textile+dyes+by+isolated+Aspergillus+niger_.txt
textile wastewater,Aspergillus niger D2-1,,,,,7 days,9.1,59%,whole fungi,Reduction in physico-chemical parameters such as BOD and COD.,Decolorization+of+different+textile+dyes+by+isolated+Aspergillus+niger_.txt
Ponceau 2R,Coriolopsis sp. strain arf5,0.2 g/L,not specified,static,room temperature,9 days,not specified,complete degradation,mycelium,"Data represent means ± SEM, n=3.",Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt
Orange G,Coriolopsis sp. strain arf5,0.2 g/L,not specified,static,room temperature,8 days,not specified,complete degradation,mycelium,"Data represent means ± SEM, n=3.",Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt
Direct Blue 71,Coriolopsis sp. strain arf5,0.2 g/L,not specified,static,room temperature,8 days,not specified,complete degradation,mycelium,"Data represent means ± SEM, n=3.",Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt
Biebrich Scarlet,Coriolopsis sp. strain arf5,0.2 g/L,not specified,static,room temperature,9 days,not specified,complete degradation,mycelium,"Data represent means ± SEM, n=3.",Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt
Ponceau 2R,Coriolopsis sp. strain arf5,0.2 g/L,not specified,carbon-limiting,not specified,not complete,not specified,not specified,mycelium,Under nitrogen-limiting conditions.,Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt
Orange G,Coriolopsis sp. strain arf5,0.2 g/L,not specified,carbon-limiting,not specified,not complete,not specified,not specified,mycelium,Under nitrogen-limiting conditions.,Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt
Direct Blue 71,Coriolopsis sp. strain arf5,0.2 g/L,not specified,carbon-limiting,not specified,> 21 days (incomplete),not specified,not completed,mycelium,Under nitrogen-limiting conditions.,Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt
Biebrich Scarlet,Coriolopsis sp. strain arf5,0.2 g/L,not specified,carbon-limiting,not specified,not completed,not specified,not specified,mycelium,Under nitrogen-limiting conditions.,Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt
Ponceau 2R,Coriolopsis sp. strain arf5,0.2 g/L,not specified,nitrogen-limiting,not specified,10 days,not specified,complete degradation,mycelium,Under nitrogen-limiting conditions.,Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt
Orange G,Coriolopsis sp. strain arf5,0.2 g/L,not specified,nitrogen-limiting,not specified,7 days,not specified,complete degradation,mycelium,Under nitrogen-limiting conditions.,Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt
Direct Blue 71,Coriolopsis sp. strain arf5,0.2 g/L,not specified,nitrogen-limiting,not specified,12 days,not specified,complete degradation,mycelium,Under nitrogen-limiting conditions.,Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt
Biebrich Scarlet,Coriolopsis sp. strain arf5,0.2 g/L,not specified,nitrogen-limiting,not specified,12 days,not specified,complete degradation,mycelium,Under nitrogen-limiting conditions.,Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt
red,Aspergillus niger,50,not specified,not specified,25,24,not specified,62.85,whole fungi,,Effect+of+Environmental+Condition+on+Biological+Decolorization+of+Textile+Dyestuff+by+C.+versicolor_.txt
red,Aspergillus niger,50,not specified,not specified,25,48,not specified,83.52,whole fungi,,Effect+of+Environmental+Condition+on+Biological+Decolorization+of+Textile+Dyestuff+by+C.+versicolor_.txt
red,Aspergillus niger,50,not specified,not specified,25,72,not specified,99.77,whole fungi,,Effect+of+Environmental+Condition+on+Biological+Decolorization+of+Textile+Dyestuff+by+C.+versicolor_.txt
red,Aspergillus niger,100,not specified,not specified,25,24,not specified,50.96,whole fungi,,Effect+of+Environmental+Condition+on+Biological+Decolorization+of+Textile+Dyestuff+by+C.+versicolor_.txt
red,Aspergillus niger,100,not specified,not specified,25,48,not specified,77.87,whole fungi,,Effect+of+Environmental+Condition+on+Biological+Decolorization+of+Textile+Dyestuff+by+C.+versicolor_.txt
red,Aspergillus niger,100,not specified,not specified,25,72,not specified,96.02,whole fungi,,Effect+of+Environmental+Condition+on+Biological+Decolorization+of+Textile+Dyestuff+by+C.+versicolor_.txt
red,Aspergillus niger,300,not specified,not specified,25,24,not specified,38.87,whole fungi,,Effect+of+Environmental+Condition+on+Biological+Decolorization+of+Textile+Dyestuff+by+C.+versicolor_.txt
red,Aspergillus niger,300,not specified,not specified,25,48,not specified,60.55,whole fungi,,Effect+of+Environmental+Condition+on+Biological+Decolorization+of+Textile+Dyestuff+by+C.+versicolor_.txt
red,Aspergillus niger,300,not specified,not specified,25,72,not specified,92.19,whole fungi,,Effect+of+Environmental+Condition+on+Biological+Decolorization+of+Textile+Dyestuff+by+C.+versicolor_.txt
yellow,Aspergillus niger,50,not specified,not specified,25,24,not specified,62.09,whole fungi,,Effect+of+Environmental+Condition+on+Biological+Decolorization+of+Textile+Dyestuff+by+C.+versicolor_.txt
yellow,Aspergillus niger,50,not specified,not specified,25,48,not specified,80.94,whole fungi,,Effect+of+Environmental+Condition+on+Biological+Decolorization+of+Textile+Dyestuff+by+C.+versicolor_.txt
yellow,Aspergillus niger,50,not specified,not specified,25,72,not specified,94.11,whole fungi,,Effect+of+Environmental+Condition+on+Biological+Decolorization+of+Textile+Dyestuff+by+C.+versicolor_.txt
yellow,Aspergillus niger,100,not specified,not specified,25,24,not specified,48.31,whole fungi,,Effect+of+Environmental+Condition+on+Biological+Decolorization+of+Textile+Dyestuff+by+C.+versicolor_.txt
yellow,Aspergillus niger,100,not specified,not specified,25,48,not specified,76.88,whole fungi,,Effect+of+Environmental+Condition+on+Biological+Decolorization+of+Textile+Dyestuff+by+C.+versicolor_.txt
yellow,Aspergillus niger,100,not specified,not specified,25,72,not specified,93.65,whole fungi,,Effect+of+Environmental+Condition+on+Biological+Decolorization+of+Textile+Dyestuff+by+C.+versicolor_.txt
yellow,Aspergillus niger,300,not specified,not specified,25,24,not specified,38.68,whole fungi,,Effect+of+Environmental+Condition+on+Biological+Decolorization+of+Textile+Dyestuff+by+C.+versicolor_.txt
yellow,Aspergillus niger,300,not specified,not specified,25,48,not specified,58.01,whole fungi,,Effect+of+Environmental+Condition+on+Biological+Decolorization+of+Textile+Dyestuff+by+C.+versicolor_.txt
yellow,Aspergillus niger,300,not specified,not specified,25,72,not specified,88.9,whole fungi,,Effect+of+Environmental+Condition+on+Biological+Decolorization+of+Textile+Dyestuff+by+C.+versicolor_.txt
